80,Afinitor,Everolimusum,tabletki,10 mg,"30 tabl.
90 tabl.
10 tabl.","5909990711598
5909990711628
5909990743360","Rpz
Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
81,Aflunov,"Prepandemiczna
szczepionka przeciw
grypie (H5N1)
(rozszczepiony wirion)
inaktywowana, z
adiuwantem",zawiesina do wstrzykiwań,"7,5 mcg/0,5
ml","1 amp.-strzyk.
10 amp.-strzyk.",,"Rp
Rp",Seqirus S.r.l.,Seqirus Vaccines Ltd,GB
82,Airexar Spiromax,"Salmeterolum +
Fluticasoni propionas",proszek do inhalacji,"50 mcg + 500
mcg","1 inhalator 60 dawek
3 inhalatory 60 dawek",,"Rp
Rp",Teva B.V.,"Teva Operations Poland
Sp. z o.o.
Teva Pharmaceuticals
Europe B.V.
Norton (Waterford)
Limited T/A Teva
Pharmaceuticals Ireland","PL
NL
IE"
83,Akynzeo,"Netupitantum +
Palonosetroni
hydrochloridum",kapsułki twarde,"300 mg + 0,5
mg",1 kaps.,5909991246563,Rp,"Helsinn Birex
Pharmaceuticals Ltd.","Helsinn Birex
Pharmaceuticals Ltd.",IE
84,Aldara,Imiquimodum,krem,"5 mg/100 mg
(5%)","12 sasz. 250 mg
24 sasz. 250 mg",5909990491018,"Rp
Rp",Meda AB,3M Health Care Limited,GB
85,Aldurazyme,Laronidasum,"koncentrat do
sporządzania roztworu do
infuzji",100 j.m./ml,"1 fiol. 5 ml
10 fiol. 5 ml
25 fiol. 5 ml","5909990005673
5909990006304
5909990006335","Rpz
Rpz
Rpz",Genzyme Europe B.V,Genzyme Ltd.,GB
86,Alimta,Pemetrexedum,"proszek do przygotowania
koncentratu do
sporządzania roztworu do
infuzji dożylnych",100 mg,1 fiol. 100 mg,5909990080205,Rpz,Eli Lilly Nederland B.V.,Lilly France S.A.S.,FR
87,Alimta,Pemetrexedum,"proszek do przygotowania
koncentratu do
sporządzania roztworu do
infuzji",500 mg,1 fiol. 500 mg,5909990009664,Rpz,Eli Lilly Nederland B.V.,Lilly France S.A.S.,FR
88,Alli,Orlistatum,kapsułki twarde,60 mg,"42 kaps.
60 kaps.
84 kaps.
90 kaps.
120 kaps.","5909990672059
5909990672066
5909990672073
5909990672080","OTC
OTC
OTC
OTC
OTC",Glaxo Group Limited,Famar S.A.,GR
89,Alli,Orlistatum,"tabletki do rozgryzania i
żucia",27 mg,"42 tabl.
60 tabl.
84 tabl.
90 tabl.
120 tabl.","5909990836673
5909990836680
5909990836697
5909990836703","OTC
OTC
OTC
OTC
OTC",Glaxo Group Limited,Famar S.A.,GR
90,Aloxi,Palonosetronum,kapsułka miękka,500 mcg,"1 kaps.
5 kaps.",5909990965106,"Rp
Rp","Helsinn Birex
Pharmaceuticals Ltd.","Helsinn Birex
Pharmaceuticals Ltd.",IE
91,Aloxi,Palonosetronum,roztwór do wstrzykiwań,250 mcg/5 ml,1 fiol. 5 ml,5909990219506,Rp,"Helsinn Birex
Pharmaceuticals Ltd.","Helsinn Birex
Pharmaceuticals Ltd.",IE
92,Alprolix,Eftrenonacogum alfa,"proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",250 IU,"1 fiol. proszku + 1 amp.-strzyk.
rozp. 5 ml + zestaw do
podawania",5909991273897,Rpz,Biogen Idec Limited,"Swedish Orphan
Biovitrum AB",SE
93,Alprolix,Eftrenonacogum alfa,"proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",500 IU,"1 fiol. proszku + 1 amp.-strzyk.
rozp. 5 ml + zestaw do
podawania",5909991273903,Rpz,Biogen Idec Limited,"Swedish Orphan
Biovitrum AB",SE
94,Alprolix,Eftrenonacogum alfa,"proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",2000 IU,"1 fiol. proszku + 1 amp.-strzyk.
rozp. 5 ml + zestaw do
podawania",5909991273927,Rpz,Biogen Idec Limited,"Swedish Orphan
Biovitrum AB",SE
95,Alprolix,Eftrenonacogum alfa,"proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",3000 IU,"1 fiol. proszku + 1 amp.-strzyk.
rozp. 5 ml + zestaw do
podawania",5909991273934,Rpz,Biogen Idec Limited,"Swedish Orphan
Biovitrum AB",SE
96,Alprolix,Eftrenonacogum alfa,"proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",1000 IU,"1 fiol. proszku + 1 amp.-strzyk.
rozp. 5 ml + zestaw do
podawania",5909991273910,Rpz,Biogen Idec Limited,"Swedish Orphan
Biovitrum AB",SE
97,Altargo,Retapamulinum,maść,10 mg/g (1%),"1 tuba 5 g
1 tuba 10 g
1 tuba 15 g
12 sasz. 0,5 g","5909990049066
5909990049073
5909990049080
5909990055500","Rp
Rp
Rp
Rp",Glaxo Group Limited,"Glaxo Operations UK Ltd
(Trading as Glaxo
Wellcome Operations)",GB
98,Ambirix,"Szczepionka (HAB)
przeciwko wirusowemu
zapaleniu wątroby typu
A (inaktywowana) i
wirusowemu zapaleniu
wątroby typu B (rDNA),
(adsorbowana)",zawiesina do wstrzykiwań,"720 j. ELISA
+ 20 mcg/ml","1 amp.-strzyk. 1 ml bez igły
1 amp.-strzyk. 1 ml z igłą
10 amp.-strzyk. 1 ml bez igły
10 amp.-strzyk. 1 ml z igłą
50 amp.-strzyk. 1 ml bez igły","5909990008735
5909990008742
5909990008759
5909990008766
5909990008773","Rp
Rp
Rp
Rp
Rp","GlaxoSmithKline
Biologicals S.A.","GlaxoSmithKline
Biologicals S.A.",BE
99,Ameluz,"Acidum 5-
aminolevulinicum
hydrochloridum",żel,78 mg/g,1 tuba 2 g,,Rpz,"Biofrontera Bioscience
GmbH","Biofrontera Pharma
GmbH",DE
100,"Amlodipine /
Valsartan Mylan","Amlodipinum +
Valsartanum",tabletki powlekane,5 mg + 80 mg,"14 tabl.
28 tabl.
28 tabl.
56 tabl.
56 tabl.
56 tabl. (56 x 1)
98 tabl.
14 tabl. (14 x 1)
28 tabl. (28 x 1)
30 tabl. (30 x 1)
90 tabl. (90 x 1)
98 tabl.
98 tabl. (98 x 1)",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Mylan S.A.S.,"McDermott Laboratories
t/a Gerard Laboratories
Mylan Hungary Kft.","IE
HU"
101,"Amlodipine /
Valsartan Mylan","Amlodipinum +
Valsartanum",tabletki powlekane,"5 mg + 160
mg","14 tabl.
28 tabl.
28 tabl.
56 tabl.
56 tabl.
98 tabl.
98 tabl.
14 tabl. (14 x 1)
28 tabl. (28 x 1)
30 tabl. (30 x 1)
56 tabl. (56 x 1)
90 tabl. (90 x 1)
98 tabl. (98 x 1)",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Mylan S.A.S.,"McDermott Laboratories
t/a Gerard Laboratories
Mylan Hungary Kft.","IE
HU"
102,"Amlodipine /
Valsartan Mylan","Amlodipinum +
Valsartanum",tabletki powlekane,"10 mg + 160
mg","14 tabl. (14 x 1)
14 tabl.
28 tabl. (28 x 1)
28 tabl.
28 tabl.
56 tabl.
30 tabl. (30 x 1)
56 tabl. (56 x 1)
56 tabl.
90 tabl. (90 x 1)
98 tabl.
98 tabl. (98 x 1)
98 tabl.",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Mylan S.A.S.,"McDermott Laboratories
t/a Gerard Laboratories
Mylan Hungary Kft.","IE
HU"
103,Ammonaps,Natrii phenylbutyras,granulat,940 mg/g,"1 op. 266 g
1 op. 532 g","5909990609376
5909990609383","Rpz
Rpz","Swedish Orphan Biovitrum
International AB",Bioglan AB,SE
104,Ammonaps,Natrii phenylbutyras,tabletki,500 mg,"250 tabl.
500 tabl.","5909990609352
5909990609369","Rpz
Rpz","Swedish Orphan Biovitrum
International AB",Bioglan AB,SE
105,Amyvid,Florbetapirum (18F),roztwór do wstrzykiwań,1900 MBq/ml,"1 fiol. 1 ml - 10 ml roztworu
1 fiol. 1 ml - 15 ml roztworu","5909991093600
5909991093631","Rpz
Rpz",Eli Lilly Nederland B.V.,"Advanced Accelerator
Applications - Bethune
Advanced Accelerator
Applications  (Italy). S.r.l.
Advanced Accelerator
Applications - Saint
Genis-Poully
Advanced Accelerator
Applications Iberica
Cyclopharma
Laboratories – Glisy
Cyclopharma
Laboratories – Toulouse
Canceropole
PETNET solutions
PETNET solutions - MT
Vernon
PETNET solutions -
Lisses
Advanced Accelerator
Applications (Italy), S.r.l.
– Venafro
Advanced Accelerator
Applications (Italy), S.r.l.
– Ivrea","FR
IT
FR
ES
FR
FR
GB
GB
FR
IT
IT"
106,Amyvid,Florbetapirum (18F),roztwór do wstrzykiwań,800 MBq/ml,"1 fiol. 1 ml - 10 ml roztworu
1 fiol. 1 ml - 15 ml roztworu","5909991093396
5909991093402","Rpz
Rpz",Eli Lilly Nederland B.V.,"Advanced Accelerator
Applications - Bethune
Advanced Accelerator
Applications  (Italy). S.r.l.
Advanced Accelerator
Applications - Saint
Genis-Poully
Advanced Accelerator
Applications Iberica
Cyclopharma
Laboratories – Glisy
Cyclopharma
Laboratories – Toulouse
Canceropole
PETNET solutions
PETNET solutions - MT
Vernon
PETNET solutions -
Lisses
Advanced Accelerator
Applications (Italy), S.r.l.
– Venafro
Advanced Accelerator
Applications (Italy), S.r.l.
– Ivrea","FR
IT
FR
ES
FR
FR
GB
GB
FR
IT
IT"
107,Angiox,Bivalirudinum,"proszek do sporządzania
koncentratu do
przygotowania roztworu
do wstrzykiwań lub infuzji",250 mg,10 fiol. 250 mg,5909990008995,Rpz,"The Medicines Company
UK Ltd",Haelsa Pharma GmbH,DE
108,Anoro,"Umeclidinium +
Vilanterolum","proszek do inhalacji,
podzielony","55 mcg + 22
mcg","1 inhalator 7 dawek
1 inhalator 30 dawek
3 inhalatory 30 dawek","5909991108977
5909991108984
5909991108991","Rp
Rp
Rp",Glaxo Group Ltd,Glaxo Operations UK Ltd,GB
109,Apidra,Insulinum glulisinum,roztwór do wstrzykiwań,100 j./ml,"1 fiol. 10 ml
2 fiol. 10 ml
4 fiol. 10 ml
5 fiol. 10 ml
1 wkład 3 ml
3 wkłady 3 ml
4 wkłady 3 ml
5 wkładów 3 ml
6 wkładów 3 ml
8 wkładów 3 ml
9 wkładów 3 ml
10 wkładów 3 ml
1 wstrzykiwacz 3 ml OptiSet
3 wstrzykiwacze 3 ml OptiSet
4 wstrzykiwacze 3 ml OptiSet
5 wstrzykiwaczy 3 ml OptiSet
6 wstrzykiwaczy 3 ml OptiSet
8 wstrzykiwaczy 3 ml OptiSet
9 wstrzykiwaczy 3 ml OptiSet
10 wstrzykiwaczy 3 ml OptiSet
1 wkład OptiClik 3 ml
3 wkłady OptiClik 3 ml
4 wkłady OptiClik 3 ml
5 wkładów OptiClik 3 ml
6 wkładów OptiClik 3 ml
8 wkładów OptiClik 3 ml
9 wkładów OptiClik 3 ml
10 wkład OptiClik 3 ml","5909990008483
5909990008490
5909990008506
5909990008537
5909990008544
5909990008551
5909990008568
5909990008575
5909990008582
5909990008599
5909990008605
5909990008629
5909990008636
5909990008643
5909990008650
5909990008667
5909990008674
5909990008681
5909990008698
5909990008704
5909990334476
5909990334483
5909990334490
5909990334506
5909990334520
5909990334544
5909990334537
5909990334551","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp","Sanofi-Aventis
Deutschland GmbH","Sanofi-Aventis
Deutschland GmbH",DE
110,Apidra,Insulinum glulisinum,roztwór do wstrzykiwań,100 j.m./ml,"1 wstrzykiwacz 3 ml
3 wstrzykiwacze 3 ml
4 wstrzykiwacze 3 ml
5 wstrzykiwaczy 3 ml
6 wstrzykiwaczy 3 ml
8 wstrzykiwaczy 3 ml
9 wstrzykiwaczy 3 ml
10 wstrzykiwaczy 3 ml","5909990617166
5909990617173
5909990617180
5909990617197
5909990617203
5909990617210
5909990617227
5909990617234","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp","Sanofi-Aventis
Deutschland GmbH","Sanofi-Aventis
Deutschland GmbH",DE
111,Apidra,Insulinum glulisinum,roztwór do wstrzykiwań,100 j.m./ml,1 fiol. 10 ml,5909990005871,Rp,"Sanofi-Aventis
Deutschland GmbH","Sanofi-Aventis
Deutschland GmbH",DE
112,Aprovel,Irbesartanum,tabletki,75 mg,"14 tabl.
28 tabl.
56 tabl.
56 tabl. (56 x 1)
98 tabl.","5909990782449
5909990782413
5909990782420
5909990430161
5909990782437","Rp
Rp
Rp
Rp
Rp",Sanofi Clir SNC,"Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Chinoin Private Co. Ltd","FR
FR
HU"
113,Aprovel,Irbesartanum,tabletki,150 mg,"14 tabl.
28 tabl.
56 tabl.
56 tabl. (56 x 1)
98 tabl.","5909990782543
5909990782512
5909990782529
5909990430178
5909990782536","Rp
Rp
Rp
Rp
Rp",Sanofi Clir SNC,"Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Chinoin Private Co. Ltd","FR
FR
HU"
114,Aprovel,Irbesartanum,tabletki,300 mg,"14 tabl.
28 tabl.
56 tabl.
56 tabl. (56 x 1)
98 tabl.","5909990782642
5909990782611
5909990782628
5909990430185
5909990782635","Rp
Rp
Rp
Rp
Rp",Sanofi Clir SNC,"Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Chinoin Private Co. Ltd","FR
FR
HU"
115,Aprovel,Irbesartanum,tabletki powlekane,75 mg,"14 tabl.
28 tabl.
30 tabl.
56 tabl.
56 tabl. (56 x 1)
84 tabl.
90 tabl.
98 tabl.","5909990430253
5909990430260
5909990955923
5909990430277
5909990430284
5909990955909
5909990955930
5909990430291","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Sanofi Clir SNC,"Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Chinoin Private Co. Ltd","FR
FR
HU"
116,Aprovel,Irbesartanum,tabletki powlekane,150 mg,"14 tabl.
28 tabl.
30 tabl.
56 tabl.
56 tabl. (56 x 1)
84 tabl.
90 tabl.
98 tabl.","5909990430307
5909990430321
5909990955961
5909990430338
5909990430345
5909990955954
5909990955978
5909990430352","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Sanofi Clir SNC,"Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Chinoin Private Co. Ltd","FR
FR
HU"
117,Aprovel,Irbesartanum,tabletki powlekane,300 mg,"14 tabl.
28 tabl.
30 tabl.
56 tabl.
56 tabl. (56 x 1)
84 tabl.
90 tabl.
98 tabl.","5909990430369
5909990430376
5909990955992
5909990430383
5909990430390
5909990955985
5909990956005
5909990430406","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Sanofi Clir SNC,"Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Chinoin Private Co. Ltd","FR
FR
HU"
118,Aptivus,Tipranavirum,kapsułki elastyczne,250 mg,120 kaps.,5909990340385,Rpz,"Boehringer Ingelheim
International GmbH","Boehringer Ingelheim
Pharma GmbH & Co. KG",DE
119,Aptivus,Tipranavirum,roztwór doustny,100 mg/ml,1 butelka 95 ml,,Rpz,"Boehringer Ingelheim
International GmbH","Boehringer Ingelheim
Pharma GmbH & Co. KG",DE
120,Aranesp,Darbepoetinum alfa,roztwór do wstrzykiwań,"10 mcg/0,4
ml (25
mcg/ml)","1 amp.-strzyk. 0,4 ml
1 wstrzykiwacz SureClick 0,4 ml
1 amp.-strzyk. 0,4 ml
1 amp.-strzyk. 0,4 ml z
zabezpieczeniem igły
4 amp.-strzyk. 0,4 ml
4 amp.-strzyk. 0,4 ml z
zabezpieczeniem igły
4 wstrzykiwacze SureClick 0,4
ml","5909990007585
5909990340200
5909990007608
5909990738700
5909990007592
5909990738748
5909990772872","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",Amgen Europe B.V.,"Amgen Europe B.V.
Amgen Technology
Ireland (ADL)","NL
IE"
121,Aranesp,Darbepoetinum alfa,roztwór do wstrzykiwań,"15 mcg/0,375
ml (40
mcg/ml)","1 amp.-strzyk. 0,375 ml
1 wstrzykiwacz SureClick 0,375
ml
1 amp.-strzyk. 0,375 ml
1 amp.-strzyk. 0,375 ml
4 amp.-strzyk. 0,375 ml
4 amp.-strzyk. 0,375 ml
4 wstrzykiwacze SureClick
0,375 ml","5909990007646
5909990340224
5909990007622
5909990738755
5909990007639
5909990738762
5909990772889","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",Amgen Europe B.V.,"Amgen Europe B.V.
Amgen Technology
Ireland (ADL)","NL
IE"
122,Aranesp,Darbepoetinum alfa,roztwór do wstrzykiwań,"20 mcg/0,5
ml (40
mcg/ml)","1 amp.-strzyk. 0,5 ml
1 wstrzykiwacz SureClick 0,5 ml
1 amp.-strzyk. 0,5 ml
1 amp.-strzyk. 0,5 ml z
zabezpieczeniem igły
4 amp.-strzyk. 0,5 ml
4 amp.-strzyk. 0,5 ml z
zabezpieczeniem igły
4 wstrzykiwacze SureClick 0,5
ml","5909990007653
5909990340231
5909990007677
5909990738779
5909990007660
5909990738786
5909990772896","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",Amgen Europe B.V.,"Amgen Europe B.V.
Amgen Technology
Ireland (ADL)","NL
IE"
123,Aranesp,Darbepoetinum alfa,roztwór do wstrzykiwań,25 mcg/ml,"1 fiol. 1 ml
4 fiol. 1 ml","5909990008063
5909990008070","Rpz
Rpz",Amgen Europe B.V.,"Amgen Europe B.V.
Amgen Technology
Ireland (ADL)","NL
IE"
124,Aranesp,Darbepoetinum alfa,roztwór do wstrzykiwań,"30 mcg/0,3
ml (100
mcg/ml)","1 amp.-strzyk. 0,3 ml
1 wstrzykiwacz SureClick 0,3 ml
1 amp.-strzyk. 0,3 ml
1 amp.-strzyk. 0,3 ml z
zabezpieczeniem igły
4 amp.-strzyk. 0,3 ml
4 amp.-strzyk. 0,3 ml z
zabezpieczeniem igły
4 wstrzykiwacze SureClick 0,3
ml","5909990007707
5909990340248
5909990007684
5909990738793
5909990007691
5909990738809
5909990772902","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",Amgen Europe B.V.,Amgen Europe B.V.,NL
125,Aranesp,Darbepoetinum alfa,roztwór do wstrzykiwań,"40 mcg/0,4
ml (100
mcg/ml)","1 amp.-strzyk. 0,4 ml
1 amp.-strzyk. 0,4 ml
1 wstrzykiwacz SureClick 0,4 ml
1 amp.-strzyk. 0,4 ml z
zabezpieczeniem igły
1 fiol. 1 ml
4 amp.-strzyk. 0,4 ml
4 amp.-strzyk. 0,4 ml z
zabezpieczeniem igły
4 wstrzykiwacze SureClick 0,4
ml
4 fiol. 1 ml","5909990007745
5909990007769
5909990340255
5909990738847
5909990008087
5909990007752
5909990738854
5909990772940
5909990008094","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",Amgen Europe B.V.,"Amgen Europe B.V.
Amgen Technology
Ireland (ADL)","NL
IE"
126,Aranesp,Darbepoetinum alfa,roztwór do wstrzykiwań,"50 mcg/0,5
ml (100
mcg/ml)","1 amp.-strzyk. 0,5 ml
1 wstrzykiwacz SureClick 0,5 ml
1 amp.-strzyk. 0,5 ml
1 amp.-strzyk. 0,5 ml z
zabezpieczeniem igły
4 amp.-strzyk. 0,5 ml
4 amp.-strzyk. 0,5 ml z
zabezpieczeniem igły
4 wstrzykiwacze SureClick 0,5
ml","5909990007776
5909990340262
5909990007790
5909990738861
5909990007783
5909990738878
5909990772957","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",Amgen Europe B.V.,"Amgen Europe B.V.
Amgen Technology
Ireland (ADL)","NL
IE"
127,Aranesp,Darbepoetinum alfa,roztwór do wstrzykiwań,"60 mcg/0,3
ml (200
mcg/ml)","1 amp.-strzyk. 0,3 ml
1 wstrzykiwacz SureClick 0,3 ml
1 amp.-strzyk. 0,3 ml
1 amp.-strzyk. 0,3 ml z
zabezpieczeniem igły
1 fiol. 1 ml
4 amp.-strzyk. 0,3 ml
4 amp.-strzyk. 0,3 ml z
zabezpieczeniem igły
4 wstrzykiwacze SureClick 0,3
ml
4 fiol. 1 ml","5909990007844
5909990340279
5909990007806
5909990738885
5909990008100
5909990007837
5909990738892
5909990772964
5909990008124","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",Amgen Europe B.V.,"Amgen Europe B.V.
Amgen Technology
Ireland (ADL)","NL
IE"
128,Aranesp,Darbepoetinum alfa,roztwór do wstrzykiwań,"80 mcg/0,4
ml (200
mcg/ml)","1 amp.-strzyk. 0,4 ml
1 wstrzykiwacz SureClick 0,4 ml
1 amp.-strzyk. 0,4 ml
1 amp.-strzyk. 0,4 ml z
zabezpieczeniem igły
4 amp.-strzyk. 0,4 ml
4 amp.-strzyk. 0,4 ml z
zabezpieczeniem igły
4 wstrzykiwacze SureClick 0,4
ml","5909990007851
5909990340286
5909990007875
5909990738908
5909990007868
5909990738922
5909990772971","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",Amgen Europe B.V.,"Amgen Europe B.V.
Amgen Technology
Ireland (ADL)","NL
IE"
129,Aranesp,Darbepoetinum alfa,roztwór do wstrzykiwań,"100 mcg/0,5
ml (200
mcg/ml)","1 amp.-strzyk. 0,5 ml
1 wstrzykiwacz SureClick 0,5 ml
1 amp.-strzyk. 0,5 ml
1 amp.-strzyk. 0,5 ml z
zabezpieczeniem igły
1 fiol. 1 ml
4 amp.-strzyk. 0,5 ml
4 amp.-strzyk. 0,5 ml z
zabezpieczeniem igły
4 wstrzykiwacze SureClick 0,5
ml
4 fiol. 1 ml","5909990007882
5909990340293
5909990007905
5909990738939
5909990008049
5909990007899
5909990738946
5909990772988
5909990008056","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",Amgen Europe B.V.,"Amgen Europe B.V.
Amgen Technology
Ireland (ADL)","NL
IE"
130,Aranesp,Darbepoetinum alfa,roztwór do wstrzykiwań,"130 mcg/0,65
ml (200
mcg/ml)","1 amp.-strzyk. 0,65 ml
1 amp.-strzyk. 0,65 ml
1 amp.-strzyk. 0,65 ml z
zabezpieczeniem igły
1 wstrzykiwacz SureClick 0,65
ml
4 amp.-strzyk. 0,65 ml
4 amp.-strzyk. 0,65 ml z
zabezpieczeniem igły
4 wstrzykiwacze SureClick 0,65
ml","5909990067367
5909990067381
5909990738953
5909990773039
5909990067374
5909990738960
5909990773046","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",Amgen Europe B.V.,"Amgen Europe B.V.
Amgen Technology
Ireland (ADL)","NL
IE"
131,Aranesp,Darbepoetinum alfa,roztwór do wstrzykiwań,"150 mcg/0,3
ml (500
mcg/ml)","1 amp.-strzyk. 0,3 ml
1 wstrzykiwacz SureClick 0,3 ml
1 amp.-strzyk. 0,3 ml
1 amp.-strzyk. 0,3 ml z
zabezpieczeniem igły
4 amp.-strzyk. 0,3 ml
4 amp.-strzyk. 0,3 ml z
zabezpieczeniem igły
4 wstrzykiwacze SureClick 0,3
ml","5909990007967
5909990340309
5909990007943
5909990738977
5909990007950
5909990738984
5909990772995","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",Amgen Europe B.V.,"Amgen Europe B.V.
Amgen Technology
Ireland (ADL)","NL
IE"
132,Aranesp,Darbepoetinum alfa,roztwór do wstrzykiwań,200 mcg/ml,"1 fiol. 1 ml
4 fiol. 1 ml","5909990991785
5909990991792","Rpz
Rpz",Amgen Europe B.V.,"Amgen Europe B.V.
Amgen Technology
Ireland (ADL)","NL
IE"
133,Aranesp,Darbepoetinum alfa,roztwór do wstrzykiwań,"300 mcg/0,6
ml (500
mcg/ml)","1 amp.-strzyk. 0,6 ml
1 wstrzykiwacz SureClick 0,6 ml
1 amp.-strzyk. 0,6 ml
1 amp.-strzyk. 0,6 ml z
zabezpieczeniem igły
1 fiol. 40 ml
4 amp.-strzyk. 0,6 ml
4 amp.-strzyk. 0,6 ml z
zabezpieczeniem igły
4 wstrzykiwacze SureClick 0,6
ml
4 fiol. 1 ml","5909990007974
5909990340323
5909990007998
5909990738991
5909990991808
5909990007981
5909990739004
5909990773008
5909990991822","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",Amgen Europe B.V.,"Amgen Europe B.V.
Amgen Technology
Ireland (ADL)","NL
IE"
134,Aranesp,Darbepoetinum alfa,roztwór do wstrzykiwań,500 mcg/ml,"1 amp.-strzyk. 1 ml
1 wstrzykiwacz SureClick 1 ml
1 amp.-strzyk. 1 ml
1 amp.-strzyk. 1 ml z
zabezpieczeniem igły
4 amp.-strzyk. 1 ml
4 amp.-strzyk. 1 ml z
zabezpieczeniem igły
4 wstrzykiwacze SureClick 1 ml","5909990008001
5909990340330
5909990008032
5909990739035
5909990008025
5909990739042
5909990773022","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",Amgen Europe B.V.,"Amgen Europe B.V.
Amgen Technology
Ireland (ADL)","NL
IE"
135,Arava,Leflunomidum,tabletki powlekane,10 mg,"30 tabl. w blistrach
30 tabl. w butelce
100 tabl. w blistrach
100 tabl. w butelce","5909990977819
5909990977826
5909990977833
5909990977840","Rpz
Rpz
Rpz
Rpz","Sanofi-Aventis
Deutschland GmbH",Sanofi Winthrop Industrie,FR
136,Arava,Leflunomidum,tabletki powlekane,20 mg,"30 tabl. w blistrze
30 tabl. w butelce
100 tabl. w blistrze
100 tabl. w butelce
50 tabl. w butelce","5909990977918
5909990977925
5909990977932
5909990977949
5909990977956","Rpz
Rpz
Rpz
Rpz
Rpz","Sanofi-Aventis
Deutschland GmbH",Sanofi Winthrop Industrie,FR
137,Arava,Leflunomidum,tabletki powlekane,100 mg,3 tabl.,5909990978014,Rpz,"Sanofi-Aventis
Deutschland GmbH",Sanofi Winthrop Industrie,FR
138,Ariclaim,Duloxetinum,"kapsułki dojelitowe,
twarde",30 mg,"7 kaps.
28 kaps.
98 kaps.","5909990657667
5909990657674
5909990657681","Rp
Rp
Rp",Eli Lilly Nederland B.V.,Lilly S.A.,ES
139,Ariclaim,Duloxetinum,"kapsułki dojelitowe,
twarde",60 mg,"28 kaps.
98 kaps.","5909990657698
5909990657704","Rp
Rp",Eli Lilly Nederland B.V.,Lilly S.A.,ES
140,Aripiprazole Accord,Aripiprazolum,tabletki,5 mg,"14 tabl. (14 x 1)
28 tabl. (28 x 1)
30 tabl.
49 tabl. (49 x 1)
56 tabl. (56 x 1)
98 tabl. (98 x 1)
100 tabl.",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp",Accord Healthcare Limited,"Accord Healthcare
Limited
Wessling Hungary Kft.","GB
HU"
141,Aripiprazole Accord,Aripiprazolum,tabletki,10 mg,"14 tabl. (14 x 1)
28 tabl. (28 x 1)
30 tabl.
49 tabl. (49 x 1)
56 tabl. (56 x 1)
98 tabl. (98 x 1)
100 tabl.",5055565723623,"Rp
Rp
Rp
Rp
Rp
Rp
Rp",Accord Healthcare Limited,"Accord Healthcare
Limited
Wessling Hungary
Limited","GB
HU"
142,Aripiprazole Accord,Aripiprazolum,tabletki,15 mg,"14 tabl. (14 x 1)
28 tabl. (28 x 1)
30 tabl.
49 tabl. (49 x 1)
56 tabl. (56 x 1)
98 tabl. (98 x 1)
100 tabl.","5055565723906
5055565723647","Rp
Rp
Rp
Rp
Rp
Rp
Rp",Accord Healthcare Limited,"Accord Healthcare
Limited
Wessling Hungary
Limited","GB
HU"
